label	mode	Na	SUM_G	scaledCap_G	frac%	saturated
r1	EF-OFF	5	13.56	15.0	90.4	no
r2	EF-OFF	5	14.11	15.0	94.1	no
r3	EF-OFF	6	15.08	18.0	83.8	no
r4	EF-OFF	5	15.02	15.0	100.1	yes
r5	EF-OFF	6	15.43	18.0	85.7	no
r6	EF-OFF	5	14.83	15.0	98.9	yes
r7	EF-OFF	5	16.07	15.0	107.1	yes
r8	EF-OFF	6	14.66	18.0	81.4	no
r9	EF-OFF	5	15.25	15.0	101.7	yes
r10	EF-OFF	5	15.68	15.0	104.5	yes
r11	EF-OFF	5	14.03	15.0	93.5	no
r12	EF-OFF	6	15.84	18.0	88.0	no
r13	EF-OFF	5	13.60	15.0	90.7	no
ef1	EF-ON	5	15.21	15.0	101.4	yes
ef2	EF-ON	5	13.27	15.0	88.5	no
ef3	EF-ON	6	15.17	18.0	84.3	no
ef4	EF-ON	6	15.06	18.0	83.7	no
ef5	EF-ON	6	14.84	18.0	82.4	no
ef6	EF-ON	6	14.80	18.0	82.2	no
ef7	EF-ON	6	14.84	18.0	82.4	no
ef8	EF-ON	5	15.40	15.0	102.7	yes
efkill1	EF-ON	6	15.65	18.0	86.9	no
efkill2	EF-ON	5	15.02	15.0	100.1	yes
offkill1	EF-OFF	5	15.49	15.0	103.3	yes
offkill2	EF-OFF	5	15.35	15.0	102.3	yes
