label,mode,ai,Nactive,SUM_Gbps,obsCoV%,Cstruct%,gap_pp,retrans
r1,EF-OFF,0|1|5|1|1|4,5,13.56,15.7,81.0,-65.3,0
r2,EF-OFF,5|2|1|3|0|1,5,14.11,20.9,67.5,-46.6,0
r3,EF-OFF,1|3|1|1|2|4,6,15.08,8.9,60.1,-51.2,19622
r4,EF-OFF,2|2|4|3|1|0,5,15.02,9.7,49.0,-39.3,0
r5,EF-OFF,2|1|1|2|4|2,6,15.43,9.6,50.0,-40.4,4544
r6,EF-OFF,2|1|0|2|5|2,5,14.83,15.3,54.4,-39.1,0
r7,EF-OFF,0|3|1|2|3|3,5,16.07,4.2,44.7,-40.5,0
r8,EF-OFF,1|3|5|1|1|1,6,14.66,12.4,71.5,-59.0,0
r9,EF-OFF,2|1|0|3|4|2,5,15.25,9.8,49.0,-39.2,0
r10,EF-OFF,0|2|3|1|2|4,5,15.68,6.4,49.0,-42.6,0
r11,EF-OFF,2|1|0|5|3|1,5,14.03,18.3,67.5,-49.2,0
r12,EF-OFF,2|2|3|3|1|1,6,15.84,3.9,47.1,-43.2,0
r13,EF-OFF,3|5|1|2|1|0,5,13.60,20.7,67.5,-46.8,0
ef1,EF-ON,3|0|2|2|1|4,5,15.21,4.2,49.0,-44.8,0
ef2,EF-ON,5|1|1|2|0|3,5,13.27,17.9,67.5,-49.6,0
ef3,EF-ON,1|3|2|2|1|3,6,15.17,3.2,47.1,-43.9,0
ef4,EF-ON,2|1|3|1|3|2,6,15.06,4.2,47.1,-42.9,0
ef5,EF-ON,2|2|2|1|1|4,6,14.84,6.6,50.0,-43.4,0
ef6,EF-ON,2|4|2|1|2|1,6,14.80,7.2,50.0,-42.8,0
ef7,EF-ON,2|3|1|2|3|1,6,14.84,5.7,47.1,-41.5,0
ef8,EF-ON,3|2|2|3|2|0,5,15.40,2.1,20.0,-17.9,0
efkill1,EF-ON,2|3|1|2|2|2,6,15.65,1.6,33.3,-31.8,0
efkill2,EF-ON,3|1|0|2|3|3,5,15.02,4.5,44.7,-40.2,0
offkill1,EF-OFF,3|0|2|2|4|1,5,15.49,7.2,49.0,-41.8,0
offkill2,EF-OFF,4|0|1|2|3|2,5,15.35,7.8,49.0,-41.2,0
